NUMBOL,Tipo,P1,P2,P3,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P2E,P3A,P4A,P4,P5,P6,P7A,P7B,P8,P9,P10,P11A,P11B,P11C,P11F,P11G,P11D,P12,P13A,P13B,P14,P15A,P15B,P15C,P15E,P15D,P16,P17,P18,P19,P20,P21A,P21B,P22,P23,P24,P25,P26,P27A,P27B,P27C,P27E,P27F,P27G,P27D,P28,P29A,P29B,P30,P31A,P31B,P31C,P31D,P31E,P31G,P31H,P31F,P32,P33,P34,P35,P36A,P36B,P37,P38,P39A,P39B,P40,P41A,P41B,P41C,P41D,P41E,P41G,P41H,P41I,P41J,P41F,P42A,P42B,P42C,P42E,P42F,P42D,P43,P44A,P44B,P44C,P44D,P44E,P44F,P44G,P44J,P44H,P44I,P44K,P44L,P44M,P44N,P44O,P44P,P44Q,P44R,P44S,P44T,P44U,P44V,P44W,P44X,P45A,P45B,P45C,P45D,P45E,P45F,P45G,P45H,P45I,P45J,P45K,P45L,P45M,P45N,P45O,P45P,P45Q,P45R,P45S,P45T,P45U,P45V,P45W,P45X,P46A,P46B,P46C,P46E,P46F,P46G,P46H,P46I,P46D,P47A,P47B,P47C,P47D,P47E,P47G,P47H,P47I,P47F,P48A,P48B,P48C,P49A,P49B,P49C,P50,P51,P52,P53,P54,P55A,P55B,P56,P57,P58A,P58B,P59A,P59B,P60A,P60B,P61A,P60C,P62A,P62B,P63A,P63B,P64A,P64B,P64C,P64D,P64E,P65,P66,P67A1,P67A2,P67B1,P67B2,P67C1,P67C2,P68,P69,P70,P71,P72A,P72B,P72C,P72E,P72F,P72D,P73,P74A,P74B,P75,P76,P77,P78A,P78B,P78C,P78D,P79,P80A,P80B,P80C,P80D,P81A,P81B,P81C,P81D,P82A,P82B,P82C,P82D,P83A,P83B,P83C,P83D,P84,P85A,P85B,P85C,P85D,P86A,P87,P88A,P88B,P88C,P88D,P89A,P89B,P89C,P89D,P90A,P90B,P90C,P90D,P91A,P91B,P91C,P91D,P92,P93A,P93B,P93C,P93D,P94,P95,P96,P97,P98A,P98B,P98C,P98E,P98D,P99,P100A,P100B,P100C,P100D,P100E,P100G,P100H,P100I,P100F,P101A,P101B,P101C,P101D,P101E,P102,P103A,P103B,P103C,P103D,P103E,P103F,P103G,P103H,P103I,P103J,P103K,P103L,P103M,P103N,P103O,P103P,P103Q,P104A,P104B,P104C,P104D,P104E,P104F,P104G,P104H,P104I,P104J,P104K,P104L,P104M,P104N,P104O,P104P,P104Q,P105,P106A,P106B,P106C,P106D,P107A,P107B,P107C,P107D,P107E,P108,P109,P110,P111,P11E,P112,P113,P114A,P114B,P115A,P115B,P115C,P115D,P116,P117,P118A,P118B,P118C,P118D,P118E,P118G,P118H,P118I,P118F,P119,P120,P121A,P121B,P121C,P121E,P121F,P121G,P121D,P122,P123,P124A,P124B,P124C,P124D,P124E,P125,P126,P127,P128A,P128B,P128C,P128D,P129A,P129B,P129C,P130A,P130B,P130C,P131A,P131B,P131C,P132A,P132B,P132C,P133A,P133B,P133C,P134,P135,P136,P137,P138,P139,P140,P140A,P140B,P140C,P140D,P141,P142,P143,P144,P145,P146A,P146B,P146C,P147,P148,P149,P150,P151,P151A,P151B,P152,P153,P154A,P154B,P155,P156A,P156B,P156C,P156D,P156E,P156F,P156G,P156H,P156I,P156J,P156K,P157,P158,P159,P160,CodP160,Ponderador5536,Ponderador5033,Nse
11,1,26,1,1,,,,,,,,,,,,,1,99,1,,1,3,3500,6,2,,,,,,1,,1,3500,1,2,3,,,1,1,400,5,1,,1,99,1,350,5,5,1,2,6,,,,,1,3,,2500,1,2,3,4,5,6,7,,2,1,200,2,1,,1,100,500,3,2,1,2,5,,,,,,,,11,,,,,,7,19,20,21,,,,,,,,,,,,,,,,,,,,,,19,20,21,,,,,,,,,,,,,,,,,,,,,,1,2,5,,,,,,,1,2,3,7,,,,,,IMPUESTOS NACIONALES,,,FACEBOOK,,,1,1,1,1,1,2,,3,4,1,1,1,1,1,1,1,1,1,1,1,1,2,7,4,,,PAGOS DE IMPUESTOS,2,,,,,,,2,2,,1,1,3,,,,,1,2,,2,2,1,,,,,1,1,,,,1,3,,,6,,,,1,,,,1200,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,5,1,,,,7,18,19,20,21,,,,,,,,,,,,,,18,19,20,,,,,,,,,,,,,,,2,,,,,8,,,,,2,2,1,3,,2,1,,5,1,,,,1,2,,,,,,,,,,,2,,,,,,,,1,3,5,2,5,5,9,2,,1,2,,,,5,,,5,,,5,,,5,,,5,,,5,5,5,5,5,5,5,1,1,1,1,2,,8,15,2,,,,2,2,7,1,1,,,4,7,1,,5,1,1,1,1,1,1,1,1,5,1,2,2,1,1,La Paz,33,"1,66029585357411","2,55437533673007",5
12,1,20,1,3,,,,,,,,,,,,,2,,1,,4,1,2000,2,2,3,4,5,,,1,,10,9,1,2,3,,,1,2,90,3,2,,,,2,,,,,,,,,,,1,1,,800,1,3,4,5,6,7,,,1,1,400,4,1,,1,100,55,1,4,1,2,4,5,7,10,,,,,3,,,,,,7,6,7,8,9,10,11,12,19,20,21,22,23,24,,,,,,,,,,,,6,7,8,9,10,11,12,17,18,19,20,21,22,23,24,,,,,,,,,,1,2,4,,,,,,,7,9,12,,,,,,,NS/NR,,,FACEBOOK,WHATSAPP,,1,1,2,2,2,2,,2,3,2,,2,,2,,2,,2,,2,,2,9,,,,SERVICIOS B!SICOS,2,,,,,,,2,2,,2,1,3,6,,,,1,1,,1,1,1,,,,,1,1,,,,1,6,,,1,2,,,1,,,,380,5,6,,,1,1,1,,,,6,,,,1,,,,1,,,,800,4,,,,2,1,1,2,,,,,,1,1,3,5,6,,,,,,1,5,7,8,,7,6,7,8,9,10,11,12,19,20,21,22,23,24,,,,,6,7,8,9,10,11,12,17,18,19,20,21,22,23,24,,,2,,,,,1,2,3,,,3,2,2,2,,2,1,,3,1,,,,1,1,7,8,9,11,,,,,,7,2,,,,,,,,1,3,5,5,5,4,3,2,,2,,,,,7,1,3,6,,,6,,,6,1,,6,,,6,6,1,1,7,1,6,1,2,9,1,2,,8,10,1,3,4,,1,1,6,1,1,,,6,6,1,,2,1,1,1,2,1,1,1,1,2,1,1,6,1,1,La Paz,33,"1,66029585357411","2,55437533673007",4
13,1,33,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,3,1500,1,3,4,,,1,2,99,4,1,,15,99,3,,,,,,,,,,,1,,2,850,1,2,3,6,7,,,,1,2,30,3,1,,1,60,55,1,3,1,2,5,10,11,,,,,,11,,,,,,4,11,12,16,17,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,10,11,,,,,1,4,,,,,,,,NS/NR,,NS/NR,WHATSAPP,FACEBOOK,,2,2,2,2,2,1,,2,2,2,,2,,2,,2,,2,,2,,2,,,,,Ninguno,2,,,,,,,2,2,,2,8,,,,,,2,,,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,1,1,,,,,,,,,1,7,,,,3,11,12,18,19,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,8,,,,,4,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,9,9,3,9,1,1,2,,,,,1,2,,1,,,9,,,1,,,1,,,1,1,1,1,7,1,6,2,2,2,2,2,,13,16,2,,,,2,2,7,2,1,,,7,7,1,,2,1,1,1,2,2,1,2,2,1,2,2,3,1,1,La Paz,33,"1,66029585357411","2,55437533673007",2
14,1,25,1,1,,,,,,,,,,,,,1,150,1,,1,2,2600,7,1,2,3,4,,,1,,3,1000,1,2,4,,,1,2,180,4,1,,5,99,2,,,,,,,,,,,1,6,,2200,1,2,3,4,5,6,,,1,3,150,3,1,,1,50,55,1,3,1,2,,,,,,,,,3,,,,,,7,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,15,16,17,18,19,20,21,22,,,,,,,,,,,,,,,,,1,2,5,10,11,,,,,1,3,,,,,,,,DIARIO,,,YOUTUBE,FACEBOOK,WHATSAPP,2,2,2,2,2,4,,3,3,2,,2,,2,,2,,2,,2,,3,5,7,,,Ns/Nr,2,,,,,,,2,2,,2,6,,,,,,1,2,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,5,,,,1,,,,1,,,,9999,4,,,,2,1,1,1,2,,,,,1,1,2,3,4,6,8,,,,1,4,7,2,,7,19,20,21,22,23,24,,,,,,,,,,,,16,17,18,19,20,21,22,23,24,,,,,,,,,2,,,,,2,1,,,,4,2,2,4,,1,1,2,,1,,,,1,2,,,,,,,,,,,2,,,,,,,,1,3,3,3,3,4,4,1,98,2,,,,,1,2,3,1,2,5,5,6,,1,2,6,6,5,,1,2,1,1,7,2,6,1,1,1,1,1,1,13,13,1,1,3,4,1,1,6,1,1,,,1,1,1,,2,1,1,1,1,1,1,2,2,3,2,2,3,1,1,La Paz,33,"1,66029585357411","2,55437533673007",3
15,1,54,1,1,,,,,,,,,,,,,1,25,1,,3,1,99,7,1,4,5,,,,1,,5,9,1,3,4,,,1,2,190,4,1,,5,99,1,225,9,3,2,7,,,,,,1,1,,320,1,3,6,,,,,,1,2,60,4,3,,1,20,100,2,4,1,2,,,,,,,,,11,,,,,,1,19,20,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,1,,,,,,,,,NS/NR,,,Ns/Nr,,,2,2,2,2,2,4,,2,1,2,,2,,2,,2,,2,,2,,2,,,,,PAGO Y COMPRA DE PRODUCTO,2,,,,,,,3,2,,2,6,,,,,,1,4,,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,5,,,,1,19,20,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,8,,,,,4,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,9,9,9,9,9,2,,2,,,,,1,2,,1,2,,1,2,,1,,,1,,,1,1,1,1,9,1,2,1,2,2,2,2,,47,52,1,1,3,4,2,1,3,2,1,,,1,3,1,,3,1,1,1,2,2,1,2,1,2,2,2,4,1,1,La Paz,33,"1,66029585357411","2,55437533673007",3
16,1,49,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,10,1600,1,3,4,,,1,2,180,3,1,,25,1200,3,,,,,,,,,,,1,,7,99,1,2,3,6,,,,,1,3,10,2,3,,1,30,55,1,2,2,9,10,11,,,,,,,11,,,,,,1,16,17,18,19,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,,,,,,,7,,,,,,,,,NSNR,,,FACEBOOK,,,2,2,2,2,2,4,,2,2,2,,2,,2,,2,,2,,2,,1,7,5,,,"Pago de facturas, impuest",2,,,,,,,1,2,,1,1,3,5,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,,,,,,,,,1,5,,,,1,16,17,18,19,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,1,,,,,2,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,2,2,1,9,9,9,2,,1,2,,,,2,3,6,2,3,,2,,,2,1,,9,,,2,2,1,2,7,7,6,2,2,2,2,2,,14,38,2,,,,1,2,3,2,1,,,7,3,1,,1,1,1,1,2,2,1,1,2,1,2,2,4,1,1,La Paz,33,"1,66029585357411","2,55437533673007",2
17,1,39,1,1,,,,,,,,,,,,,2,,2,,,,,1,4,5,,,,,1,,15,1500,1,2,4,,,1,2,150,5,1,,4,2000,3,,,,,,,,,,,1,,1,600,1,2,3,6,7,,,,1,2,30,3,1,,1,99,55,1,1,2,10,,,,,,,,,7,,,,,,1,19,20,21,22,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,,,,,,,1,9,,,,,,,,nsnr,,,Ns/Nr,,,2,2,2,2,2,4,,2,1,2,,2,,2,,2,,2,,2,,9,2,,,,"tramites, permisos de via",2,,,,,,,3,2,,2,1,3,6,,,,1,4,,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,4,7,,,,1,19,20,21,22,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,1,1,,,,8,,,,,4,2,2,3,,2,1,,4,1,,,,1,2,,,,,,,,,,,2,,,,,,,,1,3,3,1,1,3,3,1,90,2,,,,,1,2,3,1,2,3,1,,,1,2,,1,,,1,2,2,2,3,1,2,1,2,1,1,1,2,18,25,1,1,3,4,2,1,3,2,1,,,2,3,2,,2,1,1,1,1,2,1,2,1,4,1,2,3,1,1,La Paz,33,"1,66029585357411","2,55437533673007",3
18,1,18,1,1,,,,,,,,,,,,,2,,2,,,,,1,4,5,,,,,1,99,,1700,1,4,,,,2,2,,,1,,1,170,3,,,,,,,,,,,1,1,,900,1,2,3,4,5,6,7,,1,1,50,5,1,,1,50,55,1,3,1,2,7,10,11,,,,,,11,,,,,,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,,,,23,24,,,,,,,,,,,,,,,,,,,,,,,1,7,10,11,,,,,,1,5,7,9,,,,,,nsnr,,,whatsapp,facebook,youtube,2,2,2,2,2,5,,3,1,2,,2,,2,,2,,2,,2,,1,2,3,,,inscripciones,2,,,,,,,1,2,,2,1,3,6,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,1,4,,,,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,1,2,3,4,,1,2,,,,2,1,2,4,,2,1,,2,1,,,,2,2,,,,,,,,,,,2,,,,,,,,1,3,3,3,3,3,3,1,3,2,,,,,1,2,6,1,2,6,1,2,6,6,1,2,9,,,6,7,1,1,7,1,6,1,1,2,2,2,,7,8,2,,,,1,2,3,1,1,,,6,1,2,,1,1,1,1,2,2,2,2,2,1,2,2,3,1,1,La Paz,33,"1,66029585357411","2,55437533673007",1
19,1,45,1,1,,,,,,,,,,,,,1,17,1,6,1,1,2800,7,1,3,5,,,,1,,1,4000,4,,,,,1,1,220,2,1,,10,900,3,,,,,,,,,,,1,8,,1120,1,6,7,,,,,,1,2,30,3,1,,1,100,55,1,3,1,2,9,10,,,,,,,11,,,,,,1,18,19,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,10,,,,,,4,8,9,12,,,,,,noticias,,,whatsapp,,,2,2,1,2,2,4,,1,1,2,,2,,2,,2,,2,,2,,2,11,,,,pago de facturas,2,,,,,,,3,2,,2,1,3,6,,,,1,3,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,3,,,,1,3,,,,,,,,,1,,,,,1,18,19,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,2,,,,,4,1,2,4,,1,2,,,,,,,,1,6,,,,,,,,,1,2,,,,,,,,2,,2,3,9,9,9,2,,2,,,,,2,3,,2,3,,2,3,,2,3,,2,3,,1,1,1,1,1,1,1,1,2,1,1,2,,35,40,1,3,4,,1,1,3,2,1,,,2,3,2,,2,1,1,1,2,1,2,1,1,2,2,2,5,1,1,La Paz,33,"1,66029585357411","2,55437533673007",3
20,1,30,1,1,,,,,,,,,,,,,2,,1,,1,3,99,7,1,3,4,5,,,1,,10,9,1,,,,,2,2,,,1,,10,4200,2,,,,,,,,,,,1,,2,1300,1,2,3,4,5,6,7,,1,3,40,4,1,,1,80,55,1,5,1,7,8,10,,,,,,,2,,,,,,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,1,4,,,,,,,,5,9,,,,,,,,nsnr,,,Ns/Nr,,,1,2,1,2,2,3,,1,1,2,,2,,2,,2,,2,,2,,2,5,,,,pago de bancos,2,,,,,,,1,2,,1,1,3,,,,,1,1,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,3,,,,,,,,,1,4,,,,7,14,15,16,17,18,19,20,21,22,23,24,,,,,,,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,2,,,,,1,2,,,,2,2,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,3,4,4,4,4,4,1,7,2,,,,,1,2,6,1,2,6,1,2,6,6,1,2,1,2,,1,7,7,1,1,2,6,1,2,2,2,1,2,23,25,1,1,4,,2,2,4,2,1,,,3,7,3,,1,1,1,1,1,1,1,1,2,2,2,2,6,1,1,La Paz,33,"1,66029585357411","2,55437533673007",4
21,1,18,1,1,,,,,,,,,,,,,1,19,2,,,,,9,,,,,,,1,,3,1800,3,,,,,1,2,40,5,2,,,,3,,,,,,,,,,,1,,5,600,3,4,6,,,,,,1,3,10,2,1,,1,40,55,1,3,2,10,,,,,,,,,11,,,,,,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,1,2,10,,,,,,,4,5,9,12,,,,,,Ns/Nr,,,NETWOK,EDUSALUD,,2,2,2,2,2,3,,1,1,2,,2,,2,,2,,2,,2,,11,7,4,1,,Ns/Nr,2,,,,,,,2,2,,2,4,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,5,,,,,,,1,,,,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,2,,,,,1,2,,,,3,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,1,2,,,,,,,2,,4,9,3,3,9,2,,2,,,,,3,,,5,2,,1,3,6,6,1,8,9,,,5,9,3,5,3,3,6,2,1,2,1,2,,17,17,2,,,,2,2,4,2,1,,,7,4,1,,2,1,1,1,1,2,1,2,1,1,1,2,4,1,1,La Paz,33,"1,66029585357411","2,55437533673007",3
22,1,23,1,1,,,,,,,,,,,,,1,389,1,7,,2,3500,7,1,2,4,,,,1,,1,7000,2,4,,,,1,2,250,4,1,,1,3500,2,,,,,,,,,,,1,6,,2500,1,2,3,4,5,6,,,2,1,227,3,1,,1,227,2000,3,3,10,,,,,,,,,,11,,,,,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,12,,,,,,,,,5,,,,,,,,,Ninguna,,,FACEBOOK,NETFLIX,EBAY,1,2,2,2,2,1,,1,1,1,2,2,,2,,2,,2,,1,2,7,2,4,11,,"TRAM.SEGIB,LIC.CONDUCIR",2,,,,,,,2,1,5,1,2,3,,,,,1,1,,1,1,1,,,,,2,4,,,,3,,,,1,9,12,,1,,,,350,3,,,,1,2,4,,,,3,,,,10,,,,3,,,,100,4,,,,2,1,1,1,1,2,,,,1,1,2,3,5,6,7,8,,,7,1,5,,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,2,,,,,1,4,,,,2,2,1,3,,2,2,,,,,,,,1,1,4,8,,,,,,,7,2,,,,,,,,1,5,5,4,5,5,5,1,1,2,,,,,1,,,5,,,3,,,3,,,3,,,5,9,1,9,9,1,5,1,1,1,1,1,1,8,10,2,,,,2,1,6,1,1,,,1,7,1,,6,1,1,1,1,1,1,2,1,3,1,2,6,1,1,La Paz,33,"1,66029585357411","2,55437533673007",5
23,1,30,1,1,,,,,,,,,,,,,2,,1,1,,2,6300,7,1,3,6,,,TELE POR INTERNET,1,6,,4200,4,,,,,2,2,,,1,,5,99,1,224,5,3,4,5,8,,,,,1,1,,4000,1,2,6,,,,,,2,1,150,3,1,,1,150,1000,3,2,1,5,,,,,,,,,11,,,,,,7,8,9,10,12,13,15,16,18,19,20,21,22,23,24,,,,,,,,,,,8,9,11,12,13,14,16,17,18,19,20,21,22,24,,,,,,,,,,,3,5,8,,,,,,,5,10,,,,,,,,BNB,,,F BAY,ALY EXPRESS,,1,1,1,1,1,1,,2,2,2,,2,,2,,1,2,1,2,1,2,7,6,,,,PAGO DE SERVICIOS EPSAS,2,,,,,,,2,1,5,1,1,3,6,,,,1,1,,1,1,1,,,,,2,4,,,,1,3,4,,1,2,3,,1,,,,350,2,3,5,,1,3,1,4,,,3,6,,,1,2,3,,1,3,4,,3000,1,3,4,,1,1,1,1,1,2,3,,,1,1,3,,,,,,,,8,7,10,,,7,15,16,17,18,19,20,21,22,,,,,,,,,,15,16,17,18,19,20,21,22,,,,,,,,,,1,2,3,,,1,6,,,,4,2,2,1,,1,1,,4,2,,,,1,1,1,3,5,7,,,,,,3,2,,,,,,,,1,4,3,4,5,3,2,1,98,1,1,,,,7,4,5,5,4,,5,,,5,,,5,,,6,5,7,5,7,5,5,1,1,1,1,1,1,7,10,2,,,,1,1,8,2,1,,,3,8,1,,3,1,1,1,1,1,1,1,2,1,2,1,5,1,1,La Paz,33,"1,66029585357411","2,55437533673007",5
24,1,65,1,1,,,,,,,,,,,,,1,25,1,2,,2,4000,5,1,,,,,,1,,7,2800,1,2,5,,Cultural,2,2,,,1,,4,2000,3,,,,,,,,,,,1,5,,1500,1,6,,,,,,,1,2,100,4,1,,1,130,1000,3,5,1,4,,,,,,,,,5,,,,,,3,14,15,16,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,5,9,,,,,,,,Ns/Nr,,,WIQUIPEDIA,,,2,1,2,1,1,1,,4,4,1,2,2,,2,,2,,2,,1,2,2,3,4,7,,DECLARACION DE IMPUESTOS,2,,,,,,,2,2,,1,1,3,,,,,1,1,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,4,9,9,9,9,1,30,2,,,,,3,,,2,,,3,,,4,,,9,,,3,3,1,1,1,3,3,1,1,2,2,2,,30,35,1,1,,,2,1,7,2,1,,,1,7,1,,2,1,1,1,1,1,1,2,1,2,2,2,6,1,1,La Paz,33,"1,66029585357411","2,55437533673007",4
25,1,19,1,1,,,,,,,,,,,,,2,,1,99,,1,99,5,5,,,,,,1,,3,9,4,,,,,1,2,99,4,2,,,,3,,,,,,,,,,,1,3,,800,1,3,5,6,,,,,1,1,20,5,1,,1,130,1000,3,5,1,10,,,,,,,,,2,,,,,,7,10,11,12,16,17,18,,,,,,,,,,,,,,,,,,,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,,,,,,,,10,,,,,,,,,7,,,,,,,,,Ninguna,,,Ns/Nr,,,2,2,2,2,2,5,,1,1,2,,2,,2,,2,,2,,2,,7,,,,,Ns/Nr,2,,,,,,,1,2,,1,5,,,,,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,7,5,,,7,10,11,12,16,17,18,19,,,,,,,,,,,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,2,,,,,1,3,,,,2,2,2,4,,2,1,,5,1,,,,1,2,,,,,,,,,,,2,,,,,,,,1,5,4,5,5,5,5,1,1,2,,,,,6,,,1,,,6,,,6,,,9,,,6,7,6,6,7,6,6,2,1,2,2,2,,12,12,2,,,,2,2,3,1,1,,,6,3,1,,2,2,1,1,1,2,2,2,1,1,2,2,3,1,1,La Paz,33,"1,66029585357411","2,55437533673007",3
26,1,14,1,1,,,,,,,,,,,,,1,99,1,6,,3,99,4,2,3,4,5,,,1,,3,9,2,4,,,,2,2,,,2,,,,3,,,,,,,,,,,1,1,,1800,1,2,3,4,5,6,7,,1,1,100,3,1,,1,40,55,1,3,1,8,9,10,,,,,,,5,,,,,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,,,,,,,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,,,,,,,1,7,8,,,,,,,13,,,,,,,,Ultimos juegos,nsnr,,,youtube,,,2,2,2,2,2,9,,3,3,2,,2,,2,,2,,2,,2,,99,,,,,Ns/Nr,2,,,,,,,1,2,,1,5,,,,,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,1,5,,,,3,20,21,22,,,,,,,,,,,,,,,14,15,16,,,,,,,,,,,,,,,2,,,,,1,3,2,,,4,2,2,4,,1,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,4,6,4,4,4,2,,2,,,,,1,5,6,1,5,6,5,1,,1,,,9,,,1,1,1,7,7,9,6,1,2,1,1,1,2,8,8,2,,,,2,1,2,1,1,,,6,7,1,,3,1,1,1,1,1,1,2,2,3,2,2,7,1,1,La Paz,33,"1,66029585357411","2,55437533673007",4
27,1,40,1,2,,,,,,,,,,,,,1,180,2,,,,,2,1,,,,,,1,99,,9,1,4,,,,2,2,,,1,99,,99,3,,,,,,,,,,,1,,6,2000,1,2,3,6,7,,,,1,2,200,5,1,,1,150,55,1,5,1,2,7,10,11,,,,,,1,,,,,,5,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,,,,,,,1,2,9,,,,,,,no recuerda,,,Ns/Nr,,,1,2,2,2,1,4,,3,2,2,,2,,2,,1,1,1,1,1,1,1,7,6,11,,tramite compra de casa,2,,,,,,,3,2,,2,1,,,,,,1,4,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,1,1,2,3,6,,,,,,1,6,4,7,,5,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,99,,,,,,,,,,,,,,,,,2,,,,,4,1,2,,,2,1,2,2,,2,2,,,,,,,,1,7,9,,,,,,,,2,2,,,,,,,,1,5,6,5,5,4,1,1,2,2,,,,,1,3,4,1,3,4,3,1,4,1,6,7,3,4,,5,3,3,1,3,1,6,1,1,1,1,1,1,15,21,2,,,,2,1,8,2,1,,,1,7,1,,4,1,1,1,1,1,1,2,1,2,2,2,6,1,1,La Paz,33,"1,66029585357411","2,55437533673007",4
